,Time,Rectus Femoris right,Rectus Femoris left,Hamstrings right,Hamstrings left,TibilaisÂ Anterior right,TibilaisÂ Anterior left,Gastrocnemius right,Gastrocnemius left
190,0.0884483,0.0522011,-0.0515297,0.3944457,-0.018967,-0.5983825,-0.0276951,-0.1378042,-0.0045319
191,0.0889138,0.0468299,-0.0676432,0.3667506,-0.0229953,-0.5540703,-0.0475013,-0.1196765,-0.0068818
192,0.0893793,0.0428016,-0.0834211,0.3338521,-0.0256809,-0.5124437,-0.0522011,-0.1079271,-0.0075532
193,0.0898448,0.0370947,-0.0897993,0.297261,-0.0243381,-0.4617533,-0.0317235,-0.1136339,-0.0075532
194,0.0903103,0.0330663,-0.0881209,0.2636912,-0.0229953,-0.3949493,-0.0250095,-0.1243763,-0.0090639
195,0.0907759,0.0327306,-0.0807355,0.2334783,-0.0219883,-0.3086748,-0.0485084,-0.1307546,-0.0129244
196,0.0912414,0.0347448,-0.0693217,0.202594,-0.0209812,-0.2047761,-0.0777142,-0.1344472,-0.0149386
197,0.0917069,0.0381018,-0.0532082,0.170367,-0.0199741,-0.0874495,-0.0834211,-0.13579,-0.0135958
198,0.0921724,0.0414588,-0.0340734,0.1413291,-0.0193027,0.0384375,-0.0542153,-0.1371328,-0.0139315
199,0.0926379,0.043473,-0.0130922,0.1131304,-0.0179599,0.1695277,-0.0209812,-0.1371328,-0.0142672
200,0.0931034,0.0438087,0.0058747,0.0847639,-0.0152743,0.2997787,-0.0135958,-0.1297475,-0.0139315
201,0.093569,0.0411231,0.0179599,0.0542153,-0.0149386,0.4234836,-0.033402,-0.1156481,-0.0164492
202,0.0940345,0.036759,0.0203098,0.0240024,-0.0154421,0.5181506,-0.0626078,-0.1082628,-0.0263523
203,0.0945,0.0340734,0.01561,-0.0035248,-0.0154421,0.5597772,-0.0911421,-0.1196765,-0.0391089
204,0.0949655,0.0318914,-0.0030213,-0.0310521,-0.0146029,0.5587701,-0.1149767,-0.142504,-0.0458228
205,0.095431,0.0313878,-0.0464942,-0.057908,-0.0139315,0.5468528,-0.1319295,-0.1592889,-0.0451514
206,0.0958966,0.0318914,-0.0928206,-0.0802319,-0.0119173,0.5530632,-0.13579,-0.1609674,-0.0417945
207,0.0963621,0.0310521,-0.1156481,-0.0988632,-0.0082246,0.578912,-0.1163195,-0.1599603,-0.0344091
208,0.0968276,0.0288701,-0.1156481,-0.1149767,-0.0052033,0.6119783,-0.0773785,-0.1695277,-0.0253452
209,0.0972931,0.0293736,-0.1032273,-0.1292439,-0.0045319,0.6470588,-0.0397803,-0.1858091,-0.018967
210,0.0977586,0.0320592,-0.0854353,-0.1440146,-0.0065461,0.6920424,-0.0273594,-0.194873,-0.011078
211,0.0982241,0.0344091,-0.0674754,-0.1599603,-0.0092317,0.7511254,-0.0522011,-0.1958801,-0.0045319
212,0.0986897,0.0370947,-0.051194,-0.1750668,-0.0092317,0.7877165,-0.0850996,-0.1908446,-0.0072175
213,0.0991552,0.0387732,-0.0337377,-0.1871519,-0.0077211,0.7699245,-0.0960098,-0.1797665,-0.0139315
214,0.0996207,0.0404517,-0.012253,-0.1989014,-0.0062104,0.7081559,-0.0847639,-0.1599603,-0.0176242
215,0.1000862,0.0414588,0.0132601,-0.2109865,-0.0058747,0.6128176,-0.061265,-0.1399863,-0.0196384
216,0.1005517,0.0411231,0.035584,-0.2224002,-0.0062104,0.4510109,-0.0293736,-0.1304189,-0.023331
217,0.1010172,0.0394446,0.0475013,-0.2348211,-0.0062104,0.2051118,-0.0005035,-0.13579,-0.0253452
218,0.1014828,0.0360876,0.0495155,-0.2479133,-0.0075532,-0.0473335,0.0112459,-0.1495537,-0.0216526
219,0.1019483,0.0344091,0.0441444,-0.2641947,-0.0109102,-0.2526131,0.0072175,-0.1626459,-0.0176242
220,0.1024138,0.033402,0.0357519,-0.2814832,-0.0139315,-0.4359045,0.0006714,-0.1747311,-0.0176242
221,0.1028793,0.0330663,0.0310521,-0.2930648,-0.014435,-0.5821012,-0.0023499,-0.1854734,-0.0176242
222,0.1033448,0.0340734,0.0320592,-0.2962539,-0.0135958,-0.6655222,-0.0038605,-0.1874876,-0.0151064
223,0.1038103,0.0340734,0.0307164,-0.2935683,-0.0132601,-0.7135271,-0.0065461,-0.1789273,-0.0124208
